DateStart,Error
2015-09-01 12:30:44.092000+00:00,local variable 'vp_jet' referenced before assignment
2015-09-01 12:20:54.135000+00:00,local variable 'vp_jet' referenced before assignment
2015-09-02 13:39:04.097000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-01 12:11:14.077000+00:00,local variable 'vp_jet' referenced before assignment
2015-09-01 21:09:14.178000+00:00,local variable 'vp_jet' referenced before assignment
2015-09-02 15:25:04.180000+00:00,local variable 'vp_jet' referenced before assignment
2015-09-02 13:45:34.102000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-02 13:52:04.107000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-02 16:52:14.148000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-02 16:11:44.116000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-01 21:59:24.118000+00:00,local variable 'vp_jet' referenced before assignment
2015-09-02 16:41:24.189000+00:00,local variable 'vp_jet' referenced before assignment
2015-09-02 15:36:14.088000+00:00,local variable 'vp_jet' referenced before assignment
2015-09-01 21:51:34.162000+00:00,local variable 'vp_jet' referenced before assignment
2015-09-02 16:07:04.213000+00:00,local variable 'vp_jet' referenced before assignment
2015-09-02 15:29:44.083000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-02 16:48:44.145000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-01 21:24:44.190000+00:00,local variable 'vp_jet' referenced before assignment
2015-09-02 15:43:54.144000+00:00,local variable 'vp_jet' referenced before assignment
2015-09-01 21:16:54.084000+00:00,local variable 'vp_jet' referenced before assignment
2015-09-02 16:58:44.153000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-02 17:50:04.143000+00:00,local variable 'vp_jet' referenced before assignment
2015-09-02 17:30:54.078000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-02 17:02:04.106000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-02 17:25:24.224000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-03 13:16:14.100000+00:00,local variable 'vp_jet' referenced before assignment
2015-09-02 18:10:04.009000+00:00,local variable 'vp_jet' referenced before assignment
2015-09-02 17:50:44.194000+00:00,local variable 'vp_jet' referenced before assignment
2015-09-02 17:13:44.165000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-03 14:03:24.188000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-02 17:57:54.099000+00:00,local variable 'vp_jet' referenced before assignment
2015-09-03 14:37:14.165000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-02 17:07:04.109000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-03 14:28:54.208000+00:00,local variable 'vp_jet' referenced before assignment
2015-09-02 17:18:44.169000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-03 13:47:54.175000+00:00,local variable 'vp_jet' referenced before assignment
2015-09-03 14:50:44.176000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-03 14:19:44.151000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-03 18:07:24.084000+00:00,local variable 'vp_jet' referenced before assignment
2015-09-03 15:06:04.138000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-03 14:56:24.080000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-03 15:12:14.193000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-03 15:27:44.206000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-03 15:40:54.116000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-03 16:37:34.212000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-03 16:09:34.189000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-03 15:18:54.099000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-03 15:32:14.209000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-03 17:38:44.161000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-03 17:05:24.184000+00:00,local variable 'ind_range_msp' referenced before assignment
2015-09-03 18:10:14.186000+00:00,local variable 'vp_jet' referenced before assignment
2015-09-03 17:14:44.142000+00:00,index 0 is out of bounds for axis 0 with size 0
2015-09-03 17:49:54.220000+00:00,index 0 is out of bounds for axis 0 with size 0
